sembol,karar,giris_zaman,giris_fiyat,cikis_zaman,cikis_fiyat,getiri_%,nedenler
AYGAZ.IS,GÜÇLÜ AL,2026-08-12 11:36,292.75,2026-08-13 10:46,290.75,-0.68,MACD aşağı kesişim yaptı
AGESA.IS,AL,2026-08-12 12:36,244.8000030517578,2026-08-13 10:46,239.39999389648438,-2.21,RSI 50'nin altına düştü; Fiyat EMA50'nin altında kapandı
DOAS.IS,GÜÇLÜ AL,2026-08-12 12:36,194.6999969482422,2026-08-13 10:46,175.1999969482422,-10.02,"EMA8, EMA21'in altına indi; RSI 50'nin altına düştü; Fiyat EMA50'nin altında kapandı; Stop-loss tetiklendi (189.97)"
SAYAS.IS,GÜÇLÜ AL,2026-08-12 12:36,58.849998474121094,2026-08-13 10:46,57.650001525878906,-2.04,MACD aşağı kesişim yaptı
SILVR.IS,AL,2026-08-12 14:44,2.369999885559082,2026-08-13 10:46,2.2899999618530273,-3.38,Fiyat EMA50'nin altında kapandı
EUKYO.IS,AL,2026-08-12 15:32,12.949999809265137,2026-08-13 10:46,12.8100004196167,-1.08,"EMA8, EMA21'in altına indi; RSI 50'nin altına düştü"
SVGYO.IS,AL,2026-08-12 18:09,15.279999732971191,2026-08-13 10:46,15.6899995803833,2.68,Hacim satış yönünde belirgin arttı
ATATP.IS,GÜÇLÜ AL,2026-08-12 12:36,266.0,2026-08-13 11:15,264.0,-0.75,Hacim satış yönünde belirgin arttı
GSRAY.IS,AL,2026-08-12 15:32,1.0299999713897705,2026-08-13 11:15,1.0099999904632568,-1.94,MACD aşağı kesişim yaptı; RSI 50'nin altına düştü
AKCNS.IS,GÜÇLÜ AL,2026-08-12 15:32,245.39999389648438,2026-08-13 11:36,245.89999389648438,0.2,Hacim satış yönünde belirgin arttı
SVGYO.IS,GÜÇLÜ AL,2026-08-13 11:15,15.619999885559082,2026-08-13 11:36,15.579999923706055,-0.26,Hacim satış yönünde belirgin arttı
GMTAS.IS,AL,2026-08-12 00:40,47.29999923706055,2026-08-13 12:37,47.720001220703125,0.89,Hacim satış yönünde belirgin arttı
OYAKC.IS,AL,2026-08-12 12:36,21.31999969482422,2026-08-13 12:37,21.18000030517578,-0.66,Hacim satış yönünde belirgin arttı
CUSAN.IS,AL,2026-08-12 15:32,30.600000381469727,2026-08-13 12:37,29.579999923706055,-3.33,Hacim satış yönünde belirgin arttı
DOHOL.IS,GÜÇLÜ AL,2026-08-12 15:32,21.639999389648438,2026-08-13 12:37,21.079999923706055,-2.59,Hacim satış yönünde belirgin arttı
PEKGY.IS,AL,2026-08-13 11:15,15.399999618530273,2026-08-13 12:37,15.3100004196167,-0.58,Hacim satış yönünde belirgin arttı
SELVA.IS,AL,2026-08-13 11:15,1.8300000429153442,2026-08-13 12:37,1.8300000429153442,0.0,Hacim satış yönünde belirgin arttı
EUHOL.IS,GÜÇLÜ AL,2026-08-13 11:36,12.130000114440918,2026-08-13 12:37,12.130000114440918,0.0,Hacim satış yönünde belirgin arttı
HURGZ.IS,GÜÇLÜ AL,2026-08-13 11:36,7.889999866485596,2026-08-13 12:37,7.769999980926514,-1.52,Hacim satış yönünde belirgin arttı
ISGYO.IS,GÜÇLÜ AL,2026-08-12 11:14,28.520000457763672,2026-08-13 14:44,27.440000534057617,-3.79,MACD aşağı kesişim yaptı
KGYO.IS,GÜÇLÜ AL,2026-08-12 12:36,10.649999618530273,2026-08-13 14:44,12.350000381469727,15.96,Kar hedefine ulaşıldı (12.21)
ERSU.IS,GÜÇLÜ AL,2026-08-12 18:09,25.0,2026-08-13 14:44,25.31999969482422,1.28,Hacim satış yönünde belirgin arttı
ATATP.IS,AL,2026-08-13 12:37,264.25,2026-08-13 14:44,261.75,-0.95,MACD aşağı kesişim yaptı
GENIL.IS,AL,2026-08-12 12:36,11.329999923706055,2026-08-13 15:34,10.850000381469727,-4.24,Hacim satış yönünde belirgin arttı
HKTM.IS,AL,2026-08-12 15:32,11.399999618530273,2026-08-13 15:34,11.079999923706055,-2.81,MACD aşağı kesişim yaptı; RSI 50'nin altına düştü; Fiyat EMA50'nin altında kapandı
ADEL.IS,GÜÇLÜ AL,2026-08-13 10:46,34.040000915527344,2026-08-13 15:34,33.86000061035156,-0.53,Hacim satış yönünde belirgin arttı
PKART.IS,GÜÇLÜ AL,2026-08-13 12:37,133.5,2026-08-13 15:34,135.39999389648438,1.42,Hacim satış yönünde belirgin arttı
ERSU.IS,GÜÇLÜ AL,2026-08-13 15:34,25.15999984741211,2026-08-13 16:14,25.15999984741211,0.0,Hacim satış yönünde belirgin arttı
ADEL.IS,GÜÇLÜ AL,2026-08-13 16:14,33.86000061035156,2026-08-13 17:35,33.86000061035156,0.0,Hacim satış yönünde belirgin arttı
GENIL.IS,GÜÇLÜ AL,2026-08-13 16:14,10.850000381469727,2026-08-13 17:35,10.850000381469727,0.0,Hacim satış yönünde belirgin arttı
PKART.IS,GÜÇLÜ AL,2026-08-13 16:14,135.39999389648438,2026-08-13 17:35,135.39999389648438,0.0,Hacim satış yönünde belirgin arttı
ERSU.IS,GÜÇLÜ AL,2026-08-13 17:35,25.15999984741211,2026-08-13 18:11,25.15999984741211,0.0,Hacim satış yönünde belirgin arttı
GRSEL.IS,GÜÇLÜ AL,2026-08-12 00:40,350.5,2026-08-14 10:38,345.5,-1.43,MACD aşağı kesişim yaptı; RSI 50'nin altına düştü
MANAS.IS,AL,2026-08-12 15:32,30.940000534057617,2026-08-14 10:38,33.79999923706055,9.24,Kar hedefine ulaşıldı (33.70)
UFUK.IS,AL,2026-08-12 15:32,1947.0,2026-08-14 10:38,1847.0,-5.14,MACD aşağı kesişim yaptı
BRKO.IS,AL,2026-08-13 10:46,11.5,2026-08-14 10:38,12.5,8.7,Kar hedefine ulaşıldı (12.15)
YAYLA.IS,AL,2026-08-13 10:46,24.65999984741211,2026-08-14 10:38,24.899999618530273,0.97,Hacim satış yönünde belirgin arttı
AKCNS.IS,GÜÇLÜ AL,2026-08-13 12:37,246.1999969482422,2026-08-14 10:38,244.8000030517578,-0.57,MACD aşağı kesişim yaptı
GSRAY.IS,AL,2026-08-13 12:37,1.0299999713897705,2026-08-14 10:38,1.0199999809265137,-0.97,MACD aşağı kesişim yaptı
SVGYO.IS,GÜÇLÜ AL,2026-08-13 12:37,15.460000038146973,2026-08-14 10:38,15.390000343322754,-0.45,MACD aşağı kesişim yaptı
EUHOL.IS,GÜÇLÜ AL,2026-08-13 14:44,12.130000114440918,2026-08-14 10:38,11.260000228881836,-7.17,RSI 50'nin altına düştü; Stop-loss tetiklendi (11.56)
POLHO.IS,GÜÇLÜ AL,2026-08-12 12:36,22.100000381469727,2026-08-14 11:11,22.459999084472656,1.63,Hacim satış yönünde belirgin arttı
AKMGY.IS,GÜÇLÜ AL,2026-08-14 10:38,266.0,2026-08-14 11:11,261.75,-1.6,Hacim satış yönünde belirgin arttı
LRSHO.IS,GÜÇLÜ AL,2026-08-14 10:38,2.9700000286102295,2026-08-14 11:11,3.0,1.01,Hacim satış yönünde belirgin arttı
BJKAS.IS,GÜÇLÜ AL,2026-08-12 00:40,1.8700000047683716,2026-08-14 11:34,1.9299999475479126,3.21,Hacim satış yönünde belirgin arttı
IHEVA.IS,AL,2026-08-13 11:15,2.0299999713897705,2026-08-14 11:34,1.9900000095367432,-1.97,Fiyat EMA50'nin altında kapandı
HUNER.IS,AL,2026-08-14 11:11,3.7699999809265137,2026-08-14 11:34,3.7300000190734863,-1.06,Hacim satış yönünde belirgin arttı
YAYLA.IS,GÜÇLÜ AL,2026-08-14 11:11,24.34000015258789,2026-08-14 11:34,24.34000015258789,0.0,Hacim satış yönünde belirgin arttı
SMRVA.IS,AL,2026-08-13 10:46,12.140000343322754,2026-08-14 12:31,12.850000381469727,5.85,Hacim satış yönünde belirgin arttı
TBORG.IS,GÜÇLÜ AL,2026-08-13 14:44,139.0,2026-08-14 12:31,136.3000030517578,-1.94,Hacim satış yönünde belirgin arttı
AYDEM.IS,AL,2026-08-14 11:34,25.15999984741211,2026-08-14 12:31,24.920000076293945,-0.95,Hacim satış yönünde belirgin arttı
BERA.IS,AL,2026-08-14 11:34,13.619999885559082,2026-08-14 12:31,13.579999923706055,-0.29,Hacim satış yönünde belirgin arttı
LRSHO.IS,GÜÇLÜ AL,2026-08-14 11:34,2.990000009536743,2026-08-14 12:31,2.9600000381469727,-1.0,Hacim satış yönünde belirgin arttı
POLHO.IS,GÜÇLÜ AL,2026-08-14 11:34,22.479999542236328,2026-08-14 12:31,22.31999969482422,-0.71,Hacim satış yönünde belirgin arttı
TAVHL.IS,GÜÇLÜ AL,2026-08-12 12:36,280.5,2026-08-14 14:35,276.75,-1.34,MACD aşağı kesişim yaptı
VANGD.IS,AL,2026-08-13 12:37,101.5999984741211,2026-08-14 14:35,99.0,-2.56,Hacim satış yönünde belirgin arttı
GRSEL.IS,GÜÇLÜ AL,2026-08-14 11:34,352.0,2026-08-14 14:35,349.25,-0.78,MACD aşağı kesişim yaptı
FENER.IS,AL,2026-08-13 12:37,3.200000047683716,2026-08-14 15:09,3.119999885559082,-2.5,MACD aşağı kesişim yaptı
LRSHO.IS,AL,2026-08-14 14:35,2.880000114440918,2026-08-14 15:09,2.880000114440918,0.0,Hacim satış yönünde belirgin arttı
DESA.IS,AL,2026-08-14 10:38,10.630000114440918,2026-08-14 15:39,10.449999809265137,-1.69,Hacim satış yönünde belirgin arttı
YBTAS.IS,AL,2026-08-14 10:38,15.0,2026-08-14 15:39,15.0,0.0,MACD aşağı kesişim yaptı
YAYLA.IS,GÜÇLÜ AL,2026-08-14 12:31,23.860000610351562,2026-08-14 15:39,23.18000030517578,-2.85,Hacim satış yönünde belirgin arttı
VANGD.IS,GÜÇLÜ AL,2026-08-14 15:09,99.44999694824219,2026-08-14 15:39,99.80000305175781,0.35,Hacim satış yönünde belirgin arttı
LRSHO.IS,AL,2026-08-14 15:39,2.890000104904175,2026-08-14 16:38,2.890000104904175,0.0,Hacim satış yönünde belirgin arttı
DESA.IS,AL,2026-08-14 16:38,10.449999809265137,2026-08-14 18:09,10.449999809265137,0.0,Hacim satış yönünde belirgin arttı
VANGD.IS,GÜÇLÜ AL,2026-08-14 16:38,99.80000305175781,2026-08-14 18:09,99.80000305175781,0.0,Hacim satış yönünde belirgin arttı
YAYLA.IS,AL,2026-08-14 16:38,23.18000030517578,2026-08-14 18:09,23.18000030517578,0.0,Hacim satış yönünde belirgin arttı
